# 2023/12/04 - 15:38 | PDB: 48.23 | UniProt: 2024.01
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
1ii0	B	P08690	8017918	8017916
2woj	A	Q12154	8017940	8017939
3la6	A	P76387	8056299	8017850
1dj2	A	Q96529	8056316	8056315
3ez9	A	3EZ9_A	8058208	8058207
3do6	A	Q9X287	8078441	8078440
4r2w	A	Q8E9X9	8074241	8074240
3qpb	J	Q5XA29	8074245	8074244
3emv	A	A5K9M4	8074249	8074248
5mx4	A	K2JXG0	8081740	8081739
4bmx	B	O24915	8098132	8098131
5dk6	A	Q47UY5	8099452	8099451
1hm6	A	P19619	8037783	8025404
5j67	C	O75129	8052096	8052094
1bun	B	P00989	8038553	8026174
1dtk	A	P00981	8038559	8026180
1toc	R	P56409	8038570	8026191
5m4v	A	A0A1Z0YU59	8095083	8095082
6har	E	H7C0V9	8097894	8097893
3wz0	C	Q5JJ62	8065987	8065986
4k3c	A	Q93PM2	8052237	8049235
4k3c	A	Q93PM2	8052238	8052236
4k3b	A	Q5F5W8	8052252	8052247
5efr	A	G2SES0	8052289	8049232
4wvm	B	Q91453	8052086	8052082
4a1r	D	G5EA77	8052058	8047929
1y0g	A	P0A8X2	8044241	8031863
2fgs	A	Q79JB5	8075168	8075167
7bwl	A	Q9I690	8102214	8102213
1iqq	A	O80323	8036707	8024328
1sgl	A	E0CX00	8039432	8027053
5bup	A	P20239	8052311	8047457
3qw9	A	P26342	8052315	8047456
3nph	B	P73204	8052325	8047747
3djm	A	Q3J512	8091261	8045633
6tr8	A	Q6NGV7	8099828	8099827
5jc7	A	D9N195	8103690	8046840
6gkh	A	Q8R5F7	8103694	8061112
3dup	A	Q2RXX6	8052328	8044733
4wxa	C	Q3E833	8052135	8044707
2f1l	A	Q9HXQ0	8040460	8028081
1rzh	H	P0C0Y7	8041120	8028741
4pqx	A	A5ZGW9	8052340	8046951
2yko	A	Q9UN81	8052163	8047047
3soo	C	Q5T7N2	8052164	8047048
1g62	A	Q12522	8036230	8023850
1s9r	A	P23793	8041501	8029122
4e4j	A	Q8EVF6	8077443	8077442
6u1r	A	C3RVP0	8094190	8094189
5iz2	A	B5SYS5	8052369	8046115
2mu3	A	Q64K55	8052504	8047146
3b8p	A	Q04866	8039000	8026621
3ve2	A	Q09057	8052220	8047021
3exa	A	Q9KAC3	8093065	8049399
3puk	A	Q60770	8066433	8066432
3bk7	A	Q9UZA4	8018477	8018475
2iw3	A	P16521	8018510	8018508
2nq2	C	Q57399	8056328	8056327
3pih	A	Q9WYV0	8056665	8056664
3thx	A	P43246	8056708	8056704
2it1	A	O57942	8057855	8018456
2olj	A	D0VWX4	8058256	8058255
2d2e	A	Q5SH92	8058264	8058263
2yz2	A	Q9WY65	8058272	8058271
5x7k	B	Q54456	8058901	8058900
3j16	B	Q03195	8089771	8089769
3toc	A	Q99ZV9	8090750	8045454
2p6r	A	2P6R_A	8017519	8003046
2fna	A	Q97Y08	8017691	8002909
1c9k	B	Q05599	8018089	8018088
2cvh	A	P95547	8018175	8018174
2jdi	D	P00829	8018253	8018252
1iqp	A	Q8U4J3	8034164	8021784
1sxj	C	P38629	8039767	8027388
1tf5	A	P28366	8040163	8027784
2rb4	A	Q9UHL0	8041613	8029234
4ihq	A	Q4J9L0	8056591	8018130
3jvv	A	P24559	8056599	8056597
3hr8	A	P36203	8056623	8056622
2z43	B	Q55075	8056643	8056642
1n0w	A	Q06609	8056644	8018169
2dr3	D	O58022	8056653	8056652
3m4y	A	O57728	8056941	8056940
1ofu	X	Q9HZJ8	8058048	8019244
5jwo	A	Q79V60	8065698	8065697
3bor	A	Q14240	8068461	8068460
2kbe	A	P20449	8068467	8068466
3jb9	X	O94508	8090877	8090875
4a2q	D	D3TI84	8092828	8092827
4o3x	B	G0T4F6	8052223	8048883
2y3a	B	O08908	8052380	8045619
3l4q	C	P23726	8052381	8045617
1tws	A	Q81VW8	8040502	8028123
1f6y	A	Q46389	8043870	8031492
2dqw	A	Q5SLV2	8061740	8061739
2ycl	A	Q3ACS3	8089865	8089864
4djd	E	Q07340	8089870	8051753
3tbo	A	A3MW14	8052392	8044742
6avj	A	P0C7P0	8085311	8085310
4qoz	C	Q14493	8052385	8051011
2htm	A	Q5SKG7	8064400	8064399
3h8t	B	A2I2W2	8052396	8049452
4p7b	A	A0A0F6B281	8074928	8074927
5zx8	A	Q5SHZ2	8074948	8074947
4fgf	A	P09038	8041999	8029620
6hpi	A	Q9UHA7	8100676	8100675
1l5j	A	P36683	8041083	8028704
2g0u	A	Q63K18	8041579	8029200
2uwj	E	Q9I317	8053883	8051499
5c9h	A	O77448	8052457	8047110
5cqg	A	Q0QHL8	8052460	8047107
1fft	A	P0ABI8	8037811	8025432
2k0s	A	Q7SYL1	8052510	8046576
2inf	A	P32395	8072671	8072670
6w2o	A	B2FQJ0	8094861	8094860
3off	A	Q8T9B6	8052551	8051659
4wpx	F	G0S6Y1	8052556	8052555
3g7g	A	Q97DZ9	8102988	8046681
5hy3	B	P39232	8052563	8047137
4ecg	A	A6LF58	8052610	8044771
1ylo	A	A0A0H2VWV0	8034730	8022350
1vgy	A	Q9JYL2	8035742	8023362
1vho	A	Q9X0D8	8035828	8023448
2afw	A	Q16769	8036989	8024610
2c1c	A	Q3T905	8039076	8026697
1gyt	A	P68767	8039324	8026945
1xfo	A	O59196	8043878	8031500
3k9t	A	Q97H19	8056963	8045193
1m8p	A	Q12650	8018699	8018698
1gvn	B	Q54944	8019180	8019178
2xb4	A	C7U112	8054345	8054344
2p5t	B	Q97QZ1	8056333	8056332
2zpt	X	Q3UZZ6	8057108	8057107
1z29	A	P50226	8057114	8057113
1t3l	A	P54288	8058013	8019096
4gp7	A	A3DJ38	8058038	8019127
3t61	A	Q92VK3	8058288	8058287
1via	A	Q0PBC3	8058292	8058291
3trf	A	Q83AJ3	8058300	8058299
1ak2	A	P08166	8058340	8058339
2c9y	A	P54819	8058346	8058345
1cke	A	P0A6I0	8058370	8058369
1q3t	A	Q97PK6	8058372	8058371
7ckj	A	Q5SL35	8058374	8058373
2h92	A	P63807	8058380	8058379
1ki9	A	P43410	8058392	8058391
2rhm	A	A9WDG5	8058402	8058401
1nmy	A	P23919	8058412	8058411
4tmk	A	P0A720	8058418	8058417
2wwf	A	Q8I4S1	8058442	8058441
1t0h	B	Q8VGC3	8058446	8058445
2qor	A	A5K709	8062529	8062528
1osn	C	P0C0E6	8071462	8071461
3tau	B	Q8Y672	8082457	8082456
1k6m	A	P16118	8089798	8089797
2jeo	A	Q9HA47	8089803	8089802
3czp	B	Q9HYF1	8090021	8090020
7u5f	C	Q9HTM2	8106998	8106997
1ig0	A	P35202	8033936	8021556
5jff	A	P20605	8063338	8063337
1mky	A	Q9X1F8	8019266	8019264
1wf3	A	Q5SM23	8019279	8019278
1t9h	A	O34530	8019339	8019338
1udx	A	Q5SHE9	8019354	8019353
1jny	A	P35021	8019744	8019743
1n0u	A	P32324	8043945	8031567
4djt	A	Q8SS11	8054294	8050904
2wjg	A	Q57986	8056015	8019395
3rwo	A	P51996	8056347	8056346
5fh9	A	J7QA66	8056736	8050341
1u0l	A	Q9X242	8056762	8056761
3gee	A	Q8KAS1	8056838	8056837
1lnz	A	P20964	8056867	8056866
1ky2	A	P32939	8057270	8057269
4rn7	A	Q183J9	8088934	8088933
5emi	A	B2J2S4	8088936	8088935
1xdp	A	P0A7B1	8033703	8021323
1q32	A	P38319	8038464	8026085
1q32	A	P38319	8038467	8026088
1v0w	A	P84147	8041075	8028696
1zav	A	P29394	8033487	8021107
6wd8	h	I2X1W0	8101451	8101450
7cpj	5	A0A1X3K2S2	8105584	8105583
4dnn	A	Q9QYS9	8052676	8045749
2ymj	A	Q32NN2	8052677	8045750
6epb	A	P48827	8101054	8101053
4l1c	A	Q1RCS1	8103660	8046959
5a2q	L	P62280	8052715	8045079
4v8m	AE	Q38CI4	8052727	8045084
4v5o	BQ	Q22B78	8052733	8045078
3qua	A	A0R2E9	8061797	8061796
3sbx	A	B2HS63	8061799	8061798
3jqo	H	Q46704	8052803	8051646
4v8m	Br	Q582N2	8052837	8049950
1jey	A	P12956	8035571	8023191
1i0e	A	P06732	8044541	8032163
5tva	B	O67575	8081946	8081945
2iho	A	Q8X123	8034519	8022139
2rg9	B	P81446	8036805	8024426
1sr4	A	O06522	8039725	8027346
1w3a	A	Q7Z8V1	8093166	8093165
6fxc	Bp	Q2YXH8	8099330	8099329
6ywe	PP	A0A0B0DKS9	8101191	8101190
1ey1	A	P0A780	8038005	8025626
4qey	A	A7M5D7	8052861	8050028
3u6g	A	A6L6K5	8052863	8050030
1b8w	A	P82172	8038620	8026241
2qe7	A	Q71CG5	8056888	8056886
3gqb	A	Q56403	8056935	8018284
3m4y	A	O57728	8056942	8056940
1w9a	A	O06553	8043362	8030983
4l82	A	Q4UKE8	8063932	8063931
5cho	F	M9QXS1	8063936	8063935
3tgv	A	A0A0H3AGE3	8065374	8065373
5bnc	B	A0R6E4	8088720	8088719
3r5z	A	Q5YYT7	8089982	8045286
4iy9	A	Q00802	8055955	8055953
1jof	A	P38677	8039964	8027585
2cj4	A	O49908	8038935	8026556
6kmx	cK	A0A1Z3HR36	8094805	8094804
5wlc	LR	Q05946	8061270	8061269
5has	C	A0A140UHP8	8056016	8045113
5has	C	A0A140UHP8	8056017	8047927
1d2o	A	Q53654	8040362	8027983
3qdh	A	O68212	8092055	8048173
5j6q	A	Q183N4	8056041	8056038
1pi1	A	Q9H8S9	8038747	8026368
1vlp	A	P39683	8041494	8029115
1dmh	A	P07773	8040368	8027989
7s3d	l	B4WP22	8105714	8105713
1rqp	A	Q70GK9	8040852	8028473
2g5g	X	Q0PBW2	8034035	8021655
1s99	A	O34911	8042317	8029938
3euk	E	Q7VL94	8056324	8004418
2e69	D	Q53W92	8083756	8083755
4zg5	A	B2S5B9	8083758	8083757
2iut	A	Q9I0M3	8056469	8049227
1ufi	B	P07199	8041777	8029398
2iw3	A	P16521	8056486	8056485
1ixd	A	Q9NQC7	8042547	8030168
1whg	A	Q9D1E6	8043549	8031171
5nd9	P	Q2FW13	8076041	8076040
7k00	l	L4V2J8	8098042	8098041
4v8m	BK	Q38EC5	8099388	8099387
4v48	AK	P0ADY8	8105776	8105775
7qep	M0	Q8SR96	8106603	8106602
2gza	A	Q8FXK7	8056595	8056594
1c3g	A	P25294	8040507	8028128
1w8e	A	P07788	8032944	8020564
1plc	A	P00299	8040518	8028139
1iuz	A	P56274	8040526	8028147
7pcy	A	P07465	8040528	8028149
1f56	A	O82080	8040553	8028174
1cyx	A	P0ABJ1	8040569	8028190
3dtu	B	Q03736	8040891	8028512
3ehb	B	P08306	8041053	8028674
1v10	A	Q6H9H7	8041079	8028700
2j5w	A	P00450	8043000	8030621
1ws8	A	P80728	8043689	8031311
2hle	B	P52799	8061909	8061908
1rkr	A	P56547	8068791	8068790
4w9z	A	H7C6E5	8075784	8075783
3pih	A	Q9WYV0	8056669	8056664
1pzq	A	Q03132	8039464	8027085
1gmu	A	P18317	8036024	8023644
1zjk	A	O00187	8035756	8023376
2z3q	B	Q13261	8038016	8025637
1hfi	A	P08603	8038806	8026427
1vvc	A	P68638	8038811	8026432
2ok5	A	P00751	8043502	8031124
2bcq	A	Q9UGP5	8037850	8025471
1jms	A	P09838	8042122	8029743
2jz3	C	P83940	8034753	8022373
3kvt	A	O76457	8035028	8022648
1fs1	D	P63208	8035033	8022653
1r29	A	P41182	8040250	8027871
3drz	A	Q9NXV2	8067485	8067484
5fta	A	Q9H3F6	8100502	8100501
1ufb	A	P83963	8041774	8029395
1kg2	A	P17802	8042750	8030371
2ofi	A	Q8Z2A5	8072449	8072448
3a0o	A	A9CEJ9	8090365	8045378
2ayu	A	P25293	8037493	8025114
6h7w	D	G0SH11	8084581	8084580
5wy2	C	Q9Y5X3	8100750	8100749
3hpc	X	B1H267	8101365	8101364
4rpa	A	P65752	8066743	8066742
3g5o	A	O33347	8082987	8082986
1pda	A	P06983	8035105	8022725
1who	A	P43214	8040728	8028349
3ft9	A	Q69B42	8081121	8081120
3kxi	A	Q980M3	8056949	8056948
2jfr	A	A0QTQ6	8083896	8083895
2iq1	A	Q8N3J5	8083898	8083897
2p8e	A	O75688	8091294	8091293
4ds8	B	Q9CAJ0	8091304	8091303
5gwp	A	Q6L5H6	8091306	8091305
3f79	E	Q9I045	8091324	8049204
4zxb	E	P06213	8032832	8020452
2omz	A	P0DJM0	8035149	8022769
1m6b	A	P21860	8041641	8029262
3cvr	A	Q83RJ4	8052843	8052842
3g06	A	P0CE12	8052851	8052850
6f4g	D	Q9V4Q8	8074064	8074063
3wo9	A	E0D2V6	8079003	8079002
5o0r	B	Q99PI8	8088499	8088498
2wfh	A	O94813	8096003	8061073
6loj	A	D2AJU0	8102002	8102001
7v8h	B	Q9AFJ5	8107330	8107329
2fgt	A	Q794W0	8056976	8049488
1o5h	A	Q9X1P6	8037228	8024849
2rql	A	P0AFX0	8076001	8076000
3ub0	C	Q98VG9	8076511	8076510
6m71	C	P0DTD1	8092555	8092554
1hsk	A	P61431	8033292	8020912
1e8g	A	P56216	8036676	8024297
1f0x	A	P06149	8036703	8024324
1n62	C	P19920	8043534	8031156
2pli	A	Q9K0P8	8054375	8017484
2p13	A	Q82SS8	8054378	8017479
4aut	A	A0R607	8057011	8057010
2vfr	A	Q9ZBU1	8057019	8057018
2jh1	A	O00834	8056982	8045141
1yu0	A	Q775D6	8034885	8022505
2gbs	A	Q6ND56	8041801	8029422
3cr8	A	Q3SM86	8058321	8058320
2z0t	B	O58093	8087479	8087478
4rci	B	Q9BYJ9	8090676	8045439
5eip	A	O74958	8090677	8045440
4r3i	A	Q96MU7	8090679	8045442
2yu6	A	Q9H6S0	8090682	8045445
1qnt	A	P16455	8036537	8024158
1mng	A	P61503	8035048	8022668
1bsm	A	P80293	8035069	8022689
1ihm	A	Q83884	8033958	8021578
1ohf	A	Q4TVT6	8037475	8025096
1cwp	A	P03601	8040790	8028411
1a6c	A	Q88894	8040796	8028417
1qqp	3	P03305	8040848	8028469
1aym	3	Q82122	8040965	8028586
1d4m	3	P21404	8041010	8028631
3jd7	3	Q5UEA3	8067994	8067993
1mqt	C	Q8B8X4	8067998	8067997
5jzg	B	E5D8F2	8068040	8068039
6acu	C	A0A1V0FT21	8068044	8068043
4bip	C	I1T318	8068052	8068051
4fte	B	P12870	8071984	8071983
3jb4	B	Q8JV21	8077349	8077348
4v99	A4	P89036	8088843	8088842
3ide	A	Q703G9	8089993	8089355
6cvb	B	E9RIT6	8093712	8093711
6l62	A	F5A4Z4	8093752	8093751
6diz	A	I6W7A3	8093770	8093769
3jb8	A	I6QQC4	8097960	8097959
6sk7	A	P07210	8098300	8098299
2qqp	G	Q80IX5	8100032	8100031
7c9y	A	S5PN91	8100822	8100821
6lhl	A	A0A2S1BJ89	8101249	8101248
6la5	A	Q2LJ73	8101613	8101612
7anm	C	Q4TVS9	8104323	8104322
1jg5	A	P70552	8036999	8024620
4om3	B	Q04724	8057002	8045155
2bjr	A	Q7YXJ9	8038191	8025812
5idb	A	K1QRB6	8105536	8047085
1j2l	A	P21859	8036069	8023689
1z1x	A	Q5EE07	8076439	8076438
2z0s	A	Q9YC02	8038033	8025654
1j4w	A	Q96AE4	8039831	8027452
1tua	A	Q9YE16	8040437	8028058
1k1x	A	O32462	8032321	8019941
5l03	A	A0A069B2G5	8081216	8081215
2pmp	A	Q9CAK8	8081220	8081219
4c81	A	P62368	8081222	8081221
1peq	A	Q08698	8038107	8025728
2cr2	A	O43791	8039223	8026844
2qvt	A	Q1HBK6	8053192	8046577
5yc1	D	Q9BUZ4	8089592	8089591
3c03	A	Q9AJ26	8039656	8027277
3c01	F	P40702	8088466	8088465
1nl1	A	P00735	8036906	8024527
1p0s	L	P00742	8038060	8025681
4e9j	A	P35818	8057216	8057212
4wpy	A	P9WLS2	8083944	8083943
2j07	A	P61497	8042941	8030562
3oss	D	E3PJ86	8057186	8057185
4g08	A	P35672	8057266	8057262
2bpa	1	P03641	8040766	8028387
1dnv	A	Q90125	8040823	8028444
1lp3	A	P03135	8041416	8029037
3kic	A	O56139	8071434	8071433
4v86	0	O56137	8071436	8071435
6bwx	0	A0A097PIK3	8073289	8073288
1z14	A	Q84367	8100060	8100059
7na6	g	Q670S0	8105483	8105482
4pro	C	P00778	8035115	8022735
2ioj	A	O29056	8018066	8018065
1vz6	A	P0DJQ5	8041565	8029186
4o1p	A	A5H025	8089756	8048288
3fbv	D	P32361	8089775	8048286
3tug	A	Q96J02	8084369	8084368
1zvd	A	Q9HAU4	8084371	8084370
2h7o	A	Q05608	8089926	8045273
1gpm	A	P04079	8035127	8022747
2yjl	A	P26994	8089856	8045245
1dd3	A	P29396	8035078	8022698
5elt	B	O75525	8089877	8089876
1s0p	A	P54654	8041181	8028802
3iyj	B	P03103	8071426	8071425
6y61	EEE	A0A0E3ZCF3	8096172	8096171
7ryj	F	A0A2D3I4N0	8105592	8105591
4m5d	A	P53254	8053727	8046926
5eom	B	Q13394	8055860	8051295
1a77	A	Q58839	8044462	8032084
5k6k	B	Q32ZE1	8090007	8090005
5x8y	A	A0A0U4DG08	8090001	8059295
5o36	A	P0DOH7	8090002	8059296
4tpl	A	Q5SBG8	8090016	8048489
1wh9	A	P23396	8043545	8031167
2ycb	A	O27271	8103569	8046635
1f0j	A	Q07343	8038771	8026392
4htx	C	O00408	8067455	8067454
2r8q	A	Q6S996	8084501	8084500
1ccv	A	P56682	8038891	8026512
6h5a	A	P9WPG7	8099062	8099061
3j79	O	C6KT23	8077125	8077124
4u4z	m8	P0CX49	8095970	8046504
3j79	S	C0H5G3	8095974	8046508
6ztl	BM	A0A6D2WI95	8096956	8096955
6c5l	BP	P74910	8098928	8098927
7qh4	L	A0A063XCP1	8106744	8106743
6az3	L	A0A3Q8IGI9	8107086	8107085
5eqz	A	Q9S0B8	8090056	8045303
5t51	A	Q6CLK3	8090069	8047634
1l5j	A	P36683	8041087	8028708
2gp4	A	Q8EEA0	8041984	8029605
1fth	A	P0A2W6	8032412	8020032
3qmn	A	Q9KPB6	8074373	8074372
3h7q	A	P9WQD3	8083766	8083765
1a59	A	O34002	8038430	8026051
2h12	A	P20901	8064606	8064605
4xgh	A	Q2T7I5	8064612	8064611
6bom	A	B0YD89	8070007	8070006
1gvn	A	Q57231	8019189	8019188
1mms	A	P29395	8035082	8022702
1wib	A	P35979	8043570	8031192
7b93	g	O09111	8104651	8104650
5zji	D	B4FAW3	8074486	8074485
2o01	D	P12353	8074488	8074487
6kif	O	Q31PI7	8094743	8094742
3hz7	A	Q24NB0	8089468	8089467
1s7o	A	P0DG80	8039264	8026885
1smy	F	Q5SKW1	8039614	8027235
5byh	M	R4YEY9	8092898	8046763
2mmb	A	B0V7M7	8090248	8045330
1y74	A	O88951	8034146	8021766
1bjw	A	Q56232	8032325	8019945
1tpl	A	P31013	8032351	8019971
1dfo	A	P0A825	8032404	8020024
1b9i	A	O52552	8032409	8020029
1c4k	A	P43099	8032410	8020030
1fc4	A	P0AB77	8033017	8020637
1v72	A	Q59IT3	8033041	8020661
1p3w	A	P0A6B7	8034590	8022210
1c7g	A	P31011	8035627	8023247
1vjo	A	Q8YY48	8035967	8023587
2aeu	A	Q57622	8036956	8024577
1rv3	B	P07511	8038953	8026574
2ctz	A	Q5SK88	8039272	8026893
1kkp	A	Q7SIB6	8040414	8028035
1lc8	A	P97084	8041228	8028849
1w7l	A	Q16773	8041689	8029310
1n8p	A	P31373	8043677	8031299
3acz	D	Q86D28	8059615	8059614
4xau	A	Q0H2X1	8063316	8063315
4zlv	B	S8EY38	8071896	8071895
3ruy	A	Q81TV3	8071898	8071897
3q8n	A	A0QQ04	8071918	8071917
4ffc	A	B1MIQ9	8071926	8071925
3gju	A	Q987B2	8071940	8071939
4grx	A	A1B956	8071944	8071943
3p1t	D	Q63U92	8073124	8073123
2dkj	A	Q5SI56	8073331	8073330
3pgy	A	Q5HE87	8073335	8073334
5wlw	A	Q9Y697	8074674	8074673
4ixo	A	C3PNQ7	8074688	8074687
2x8u	A	A5VD79	8075696	8075695
2wk8	B	Q9KM65	8078141	8078140
5f8v	E	A2DW27	8078938	8078937
3hbx	D	Q42521	8083039	8083038
2qma	A	Q87NC6	8083292	8083291
4zas	A	Q8KND8	8087680	8087679
6zhk	A	Q58696	8095441	8095440
6w7x	A	B2FT38	8095459	8095458
6jix	A	A0A0A7I435	8096140	8096139
6io1	B	B9L0K9	8097340	8097339
4k2m	A	O07566	8098090	8098089
5txr	A	P09950	8098330	8098329
6qp3	A	Q08432	8099118	8099117
6g1f	A	Q6VY99	8099852	8099851
6enz	A	Q80WP8	8100036	8100035
6rl5	G	Q9ZEU7	8100764	8100763
7b0d	A	F2KQE6	8105740	8105739
4fun	A	Q5HKE8	8090265	8090263
2i7t	A	Q9UKF6	8034424	8022044
1ko3	A	Q9K2N0	8036226	8023846
4tze	A	G3K399	8061893	8061892
3sd9	A	Q9RMI1	8079327	8079326
6dn4	A	A0A384EQ66	8096744	8096743
6s0i	A	P0AC84	8098402	8098401
4ysb	A	Q1D4C9	8099212	8099211
6l3s	A	A0A286S0G7	8101239	8101238
2ycb	A	O27271	8103572	8103571
2imq	X	O76745	8034550	8022170
3n9v	A	P32019	8067497	8067496
7ee6	F	A0A718C6E5	8106096	8106095
1mo6	A	P9WHJ3	8056613	8056612
2ejn	A	P30440	8040121	8027742
1uh9	A	P06026	8040844	8028465
1bxo	A	P00798	8042453	8030074
1am5	A	P56272	8042485	8030106
6dh3	A	Q6B6C5	8072193	8072192
2o4l	A	Q1G1C3	8072215	8072214
2i0d	A	O38731	8098154	8098153
2i4w	A	O92139	8098248	8098247
2cen	B	Q5RZ09	8099708	8099707
5v4y	A	Q72874	8099884	8099883
6ops	A	Q8ULI9	8100274	8100273
3s45	A	Q9W9R3	8100704	8100703
1tml	A	P26222	8043860	8031482
5xcy	A	Q02321	8073537	8073536
1r9o	A	P11712	8038817	8026438
3czh	A	Q6VVX0	8040351	8027972
1ued	A	Q8RN03	8041735	8029356
1gwi	A	Q9L142	8042290	8029911
1lgf	A	Q8RN04	8043035	8030656
3qoa	A	P20813	8068635	8068634
1z10	A	P11509	8068641	8068640
3pm0	A	Q16678	8068649	8068648
6b82	A	A2ATX9	8068655	8068654
3juv	A	Q16850	8068675	8068674
5gwe	D	Q8NSW2	8068711	8068710
2y46	A	Q59523	8078709	8078708
4yzr	A	O31785	8078717	8078716
4tvf	A	Q70AY8	8078721	8078720
6hqg	A	B4RGA3	8078739	8078738
2wm5	A	P9WPP3	8080147	8080146
5ofq	D	D5DF88	8084080	8084079
6mcw	A	Q603T8	8095443	8095442
6l69	A	Q82GL5	8100052	8100051
6q2c	B	L8GJB3	8101465	8101464
7ayx	B	D6AU61	8105732	8105731
1isu	A	P33678	8039006	8026627
3hip	A	P59860	8039016	8026637
2hip	A	P04168	8039020	8026641
1kp8	A	P0A6F5	8043929	8031551
1a6d	B	P48425	8043954	8031576
2chr	A	P05404	8035161	8022781
2akz	A	P09104	8037161	8024782
2gdq	A	O06741	8041796	8029417
1wue	A	Q838J7	8043721	8031343
3ztb	A	Q2RIF5	8089532	8089531
2r83	A	P21579	8036647	8024268
1d5r	A	P60484	8040713	8028334
1dsy	A	P05696	8040725	8028346
2enj	A	Q04759	8057953	8018927
5h4y	A	O00445	8072589	8072588
2enp	A	Q9BSW7	8072599	8072598
6bty	A	O00443	8072607	8072606
2fk9	A	P24723	8073964	8073963
4p42	A	A0FGR8	8091395	8046378
1tlq	A	P54173	8040306	8027927
1h2s	B	P42259	8042370	8029991
1s3l	A	Q58346	8039123	8026744
1xzw	A	Q9SE00	8044226	8031848
3flo	E	P38121	8053387	8045196
5b8i	A	J3K8M7	8081526	8081525
4or9	A	P16298	8084547	8084546
5w8m	C	G0RZB5	8085939	8085938
2gju	A	O58732	8087459	8087458
4fbk	B	Q09683	8090752	8045456
2l9q	A	P22943	8090380	8045379
5fau	A	Q30W70	8087207	8087206
1wzz	A	P37696	8033483	8021103
1g87	B	P37700	8044443	8032065
4j5t	A	P53008	8051858	8051203
2bb5	B	P20062	8051860	8048588
3wkx	A	E8MGH8	8051872	8050271
3eu8	B	Q5LIB7	8051876	8051507
5d06	A	Q6FSK0	8051878	8047873
4xwl	A	O65986	8076409	8076408
6g09	A	C5BJ89	8087408	8087407
5u0h	A	A0A384E0U0	8096734	8096733
6f04	A	A0A452CSU8	8096816	8096815
1o26	A	Q9WYT0	8033842	8021462
1oqe	K	Q96RJ3	8034246	8021866
5fm1	A	P38863	8090500	8045389
5fm1	B	P53540	8090503	8045391
4rsx	A	Q87UE5	8090474	8090472
1aor	A	Q51739	8036737	8024358
3n91	A	A7M003	8090514	8090513
2d1p	A	P45532	8039496	8027117
1e8o	A	P49458	8035086	8022706
5f4c	A	Q7CPM9	8082889	8082888
1zu1	A	Q8AVN9	8033444	8021064
1zu1	A	Q8AVN9	8033446	8021066
1x3c	A	O60281	8033579	8021199
1x6e	A	P17028	8033640	8021260
2epr	A	Q9HBE1	8034026	8021646
5znf	A	P08048	8038940	8026561
2gli	A	P08151	8038954	8026575
1bbo	A	P15822	8038957	8026578
2csh	A	O43298	8039257	8026878
1wjp	A	Q9ULJ3	8043611	8031233
1k2f	A	P61092	8053186	8013526
3hcs	A	Q9Y4K3	8053197	8049971
2lce	A	P41182	8064780	8064779
2yu8	A	Q96SE7	8064782	8064781
2m0f	A	Q13105	8064786	8064785
2kvf	A	Q9JKD9	8064788	8064787
4xba	A	O74859	8089894	8045258
3eph	A	P07884	8093072	8093071
4v6x	CP	P18621	8076704	8076703
3jbn	AW	Q8IDI5	8076716	8076715
6spf	S	A0A1C7BCP0	8094715	8094714
6ys3	s	P61175	8096336	8096335
6vyq	1	D7Z9G0	8097622	8097621
6th6	BV	Q5JDH4	8099606	8099605
6swa	O	Q9CPR4	8100468	8100467
7m4w	R	A0A009I821	8103006	8103005
7nhn	V	Q927L2	8103206	8103205
1v8d	A	Q72L49	8041208	8028829
7lap	A	Q54216	8102467	8102466
5t2a	g	E9BS76	8102375	8102374
7qep	O2	Q8SS18	8106617	8106616
1vz0	A	Q72H91	8041555	8029176
1j0p	A	P00132	8035994	8023614
1czj	A	P38554	8039126	8026747
1up9	A	Q9L915	8042917	8030538
2a3m	A	Q30WH0	8068593	8068592
2cvc	A	P24092	8090740	8026975
6ea3	A	Q47NS3	8095437	8095436
1rvv	A	P11998	8044013	8031635
1c41	A	Q9UVT8	8044031	8031653
1qu6	A	P19525	8035092	8022712
1t4o	A	Q02555	8039971	8027592
2l2k	B	Q91ZS8	8100340	8100339
1j31	A	O58376	8036076	8023696
4wai	A	P39146	8090765	8045479
1j5u	A	Q9X0H1	8039864	8027485
4ytd	A	Q8BR07	8090809	8045490
2w6k	A	Q9HZQ0	8037856	8025477
3eeq	A	Q97WD0	8041022	8028643
2bnh	A	P10775	8043978	8031600
4per	A	Q5ZIY8	8076672	8076671
4e05	I	Q9NJS1	8090817	8045493
1nmp	A	P0AFP6	8036937	8024558
1i1q	A	P00898	8033535	8021155
1qdl	A	Q06128	8036902	8024523
1k0g	A	P05041	8037733	8025354
5kck	A	A0A0H2URN1	8072353	8072352
2dk4	A	Q99633	8033773	8021393
1v65	A	Q8BG62	8041186	8028807
3vx7	A	L7MTK3	8052659	8045562
4ocm	B	P43588	8053248	8048101
2znr	A	Q96FJ0	8053260	8048961
4kit	C	Q6P2Q9	8053277	8050374
2kcq	A	Q2S0Y5	8053293	8053291
5oi9	A	B3S3X5	8053300	8053298
5h1s	P	P82194	8089018	8089017
6osq	N	A0A2T1LEK9	8093462	8093461
7otc	N	A0A140N4M0	8107404	8107403
2q07	A	O29668	8036179	8023799
